Date,City,PM25,O3,NO2,SO2,CO
2023-10-02,Toronto-North,36,40,11, , 
2023-10-03,Toronto-North,38,49,19, , 
2023-10-04,Toronto-North,54,39,13, , 
2023-10-05,Toronto-North,57,35,8, , 
2023-10-06,Toronto-North,46,30,7, , 
2023-10-07,Toronto-North,31,19,3, , 
2023-10-08,Toronto-North,19,22,1, , 
2023-10-09,Toronto-North,6,21,2, , 
2023-10-10,Toronto-North,11, , , , 
2023-07-02,Toronto-North,96,34,5, , 
2023-07-03,Toronto-North,74,38,3, , 
2023-07-04,Toronto-North,48,34,12, , 
2023-07-05,Toronto-North,52,47,8, , 
2023-07-06,Toronto-North,52,37,9, , 
2023-07-07,Toronto-North,45,31,3, , 
2023-07-08,Toronto-North,30,32,5, , 
2023-07-09,Toronto-North,40,33,1, , 
2023-07-10,Toronto-North,28,40,6, , 
2023-07-11,Toronto-North,37,45,9, , 
2023-07-12,Toronto-North,44,42,4, , 
2023-07-13,Toronto-North,25,28,3, , 
2023-07-14,Toronto-North,20,39,6, , 
2023-07-15,Toronto-North,33,33,4, , 
2023-07-16,Toronto-North,35,37,3, , 
2023-07-17,Toronto-North,51,41,5, , 
2023-07-18,Toronto-North,84,25,5, , 
2023-07-19,Toronto-North,34,30,5, , 
2023-07-20,Toronto-North,26,39,8,1, 
2023-07-21,Toronto-North,34,26,3, , 
2023-07-22,Toronto-North,30,28,3, , 
2023-07-23,Toronto-North,47,34,4, , 
2023-07-25,Toronto-North,33,51,8, , 
2023-07-26,Toronto-North,57,53,8, , 
2023-07-27,Toronto-North,85,35,4, , 
2023-07-28,Toronto-North,35,46,8, , 
2023-07-29,Toronto-North,73,28,1, , 
2023-07-30,Toronto-North,33,25,3, , 
2023-07-31,Toronto-North,24,24,3, , 
2023-08-01,Toronto-North,23,31,5, , 
2023-08-02,Toronto-North,25,30,9, , 
2023-08-03,Toronto-North,37,49,5, , 
2023-08-04,Toronto-North,57,30,4, , 
2023-08-05,Toronto-North,56,19,1, , 
2023-08-06,Toronto-North,91, , , , 
2023-08-09,Toronto-North,43,33,6, , 
2023-08-10,Toronto-North,53,35,6, , 
2023-08-11,Toronto-North,56,26,3, , 
2023-08-12,Toronto-North,21,36,2, , 
2023-08-13,Toronto-North,23,18,1, , 
2023-08-14,Toronto-North,14,29,3, , 
2023-08-15,Toronto-North,35,19,4, , 
2023-08-16,Toronto-North,48,40,4, , 
2023-08-17,Toronto-North,90,36,5, , 
2023-08-18,Toronto-North,67,20,3, , 
2023-08-19,Toronto-North,21,28,2, , 
2023-08-20,Toronto-North,55,39,4, , 
2023-08-21,Toronto-North,62,24,2, , 
2023-08-22,Toronto-North,43,27,4, , 
2023-08-23,Toronto-North,34,23,10, , 
2023-08-24,Toronto-North,37,20,5, , 
2023-08-25,Toronto-North,38,23,3, , 
2023-08-26,Toronto-North,26,22,5, , 
2023-08-27,Toronto-North,25,22,3, , 
2023-08-28,Toronto-North,33,31,6, , 
2023-08-29,Toronto-North,33,43,8, , 
2023-08-30,Toronto-North,38,20,4, , 
2023-08-31,Toronto-North,19,27,6, , 
2023-09-01,Toronto-North,19,33,10, , 
2023-09-02,Toronto-North,30,31,7, , 
2023-09-03,Toronto-North,32,39,6, , 
2023-09-04,Toronto-North,41,44,5, , 
2023-09-05,Toronto-North,48,41,7, , 
2023-09-06,Toronto-North,40,39,9, , 
2023-09-07,Toronto-North,41,31,7, , 
2023-09-08,Toronto-North,31,12,1, , 
2023-09-09,Toronto-North,10,18,2, , 
2023-09-10,Toronto-North,19,20,3, , 
2023-09-11,Toronto-North,22,25,5, , 
2023-09-12,Toronto-North,25,24,7, , 
2023-09-13,Toronto-North,21,19,5, , 
2023-09-14,Toronto-North,14,22,6, , 
2023-09-15,Toronto-North,25,27,8, , 
2023-09-16,Toronto-North,37,35,10, , 
2023-09-17,Toronto-North,41,39,11, , 
2023-09-18,Toronto-North,42,21,5, , 
2023-09-19,Toronto-North,39,25,4, , 
2023-09-20,Toronto-North,21,26,10, , 
2023-09-21,Toronto-North,28,32,11, , 
2023-09-22,Toronto-North,32,28,7, , 
2023-09-23,Toronto-North,26,27,5, , 
2023-09-24,Toronto-North,41,30,3, , 
2023-09-25,Toronto-North,51,28,3, , 
2023-09-26,Toronto-North,50,20,2, , 
2023-09-27,Toronto-North,56,26,4, , 
2023-09-28,Toronto-North,37,33,5, , 
2023-09-29,Toronto-North,31,27,6, , 
2023-09-30,Toronto-North,32,35,6, , 
2023-10-01,Toronto-North,43,34,8, , 
2023-04-02,Toronto-North,21,32,3, , 
2023-04-03,Toronto-North,19,27,11, , 
2023-04-04,Toronto-North,26,34,13, , 
2023-04-05,Toronto-North,30,28,6, , 
2023-04-06,Toronto-North,31,34,7, , 
2023-04-07,Toronto-North,25,33,4, , 
2023-04-08,Toronto-North,15,33,6, , 
2023-04-09,Toronto-North,26,39,9, , 
