City,Date,AQHI-H01,AQHI-H02,AQHI-H03,AQHI-H04,AQHI-H05,AQHI-H06,AQHI-H07,AQHI-H08,AQHI-H09,AQHI-H10,AQHI-H11,AQHI-H12,AQHI-H13,AQHI-H14,AQHI-H15,AQHI-H16,AQHI-H17,AQHI-H18,AQHI-H19,AQHI-H20,AQHI-H21,AQHI-H22,AQHI-H23,AQHI-H24
Ottawa Downtown,2022-01-01,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-01-02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-01-03,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4
Ottawa Downtown,2022-01-04,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-01-05,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
Ottawa Downtown,2022-01-06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-01-07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-01-08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
Ottawa Downtown,2022-01-09,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-01-10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-01-11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2
Ottawa Downtown,2022-01-12,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
Ottawa Downtown,2022-01-13,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-01-14,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-01-15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
Ottawa Downtown,2022-01-16,3,3,3,3,4,4,4,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3
Ottawa Downtown,2022-01-17,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2
Ottawa Downtown,2022-01-18,4,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3
Ottawa Downtown,2022-01-19,4,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3
Ottawa Downtown,2022-01-20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
Ottawa Downtown,2022-01-21,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,4,4,4,4
Ottawa Downtown,2022-01-22,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5
Ottawa Downtown,2022-01-23,5,5,5,5,4,4,4,5,4,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3
Ottawa Downtown,2022-01-24,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-01-25,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
Ottawa Downtown,2022-01-26,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4
Ottawa Downtown,2022-01-27,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-01-28,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
Ottawa Downtown,2022-01-29,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-01-30,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,4,4,4
Ottawa Downtown,2022-01-31,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,3
Ottawa Downtown,2022-02-01,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4
Ottawa Downtown,2022-02-02,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ottawa Downtown,2022-02-03,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-02-04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-02-05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
Ottawa Downtown,2022-02-06,3,4,4,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-02-07,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
Ottawa Downtown,2022-02-08,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3
Ottawa Downtown,2022-02-09,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
Ottawa Downtown,2022-02-10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
Ottawa Downtown,2022-02-11,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-02-12,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-02-13,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-02-14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
Ottawa Downtown,2022-02-15,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,4,4,4
Ottawa Downtown,2022-02-16,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3
Ottawa Downtown,2022-02-17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
Ottawa Downtown,2022-02-18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4
Ottawa Downtown,2022-02-19,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-02-20,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-02-21,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-02-22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Ottawa Downtown,2022-02-23,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ottawa Downtown,2022-02-24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
