Hamilton Downtown, (29000) Hourly, Sulphur Dioxide (SO2) Concentrations,,,,,From,01-Jan, 2022 EST,,,,,,,,,,,,,,,,,
Station,Hamilton Downtown (29000),,,,,,To,31-Dec, 2022 EST,,,,,,,,,,,,,,,,,
Address,Elgin St./kelly St.,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.25778,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.861664,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 90 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air Intake Height,4 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Sulphur Dioxide (Sulphur Dioxide  SO2),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, parts per billion (ppb),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
29000,Sulphur Dioxide,2022-01-01,0,1.7,5.2,1.2,0.4,0.2,0.1,0.1,0,0,0.2,0.4,0.3,0.2,0.3,0.3,0.1,0,0,0,0,0,0,0
29000,Sulphur Dioxide,2022-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29000,Sulphur Dioxide,2022-01-03,0.1,0,0,9999,0.2,0.1,1,0.3,0.7,22.7,9.4,21.6,20.7,27.5,20.7,8.6,0.6,0.2,0.2,0.2,0.3,0.4,0.2,0.3
29000,Sulphur Dioxide,2022-01-04,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.3,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.4
29000,Sulphur Dioxide,2022-01-05,0.3,0.4,0.5,0.8,0.6,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
29000,Sulphur Dioxide,2022-01-06,0.2,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0,0,0,0,0,0,0,0,0,0.1
29000,Sulphur Dioxide,2022-01-07,0.2,0.2,0,0,0,0,0,0,0.2,5.6,10.2,4,4.7,2.8,2.6,0.8,0.8,1.2,1.6,0.1,0.2,0.2,0.3,0
29000,Sulphur Dioxide,2022-01-08,0.6,0.7,0,0,0,0,0.1,0.3,0.3,0.7,0.6,0.6,0.4,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.8,0.4
29000,Sulphur Dioxide,2022-01-09,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0
29000,Sulphur Dioxide,2022-01-10,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29000,Sulphur Dioxide,2022-01-11,0,0.8,0,0,0.1,0.5,4.1,4.1,10.6,8.1,2.5,1.2,0.8,0.5,0.6,1.2,1.7,0.8,0.4,0.5,0.8,1.8,0.7,0.4
29000,Sulphur Dioxide,2022-01-12,0.4,0.5,0.6,0.8,0.6,0.6,0.7,0.6,0.6,0.6,0.7,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0,0,0,0,0,0
29000,Sulphur Dioxide,2022-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
29000,Sulphur Dioxide,2022-01-14,0,0,0,0,0,0,0,0,0,0.2,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0
29000,Sulphur Dioxide,2022-01-15,0,0,0,0.1,0,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.5,0.9,3.1,2.2,0.9,1,0.7,0.5,0.7,0.5,3.1
29000,Sulphur Dioxide,2022-01-16,1.7,0.6,0.5,1.3,0.9,0.6,0.4,0.3,0.4,0.7,4.3,4.1,7.1,8.8,6.1,2.4,9,3.8,3.1,1.1,0.9,0.4,0.1,0
29000,Sulphur Dioxide,2022-01-17,0,0.1,0,9999,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.2,1.3,1.1,2.7,0.6
29000,Sulphur Dioxide,2022-01-18,0.3,0.2,0.1,0,0,0.1,0.1,1.8,2.4,2.4,1.9,5.2,1.5,2.1,4,3.9,3,0.6,0.2,0.2,0.1,0.1,0.1,0.2
29000,Sulphur Dioxide,2022-01-19,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.7,0.7,0.3,0.1,0,0,0.1,0.6,0.3,0.7,0,0.1,1.1
29000,Sulphur Dioxide,2022-01-20,0.5,0,0,0,0,0,0,0,0,1.3,0.4,0.2,2.8,0.5,0,0,0,0,0,0,0,0,0,0
29000,Sulphur Dioxide,2022-01-21,0,0,0,0,0,0,0,0,0.2,0.3,0.6,2.3,3,4.8,1.2,0.9,0.4,0.1,0.4,0,0,0,0.5,0.5
29000,Sulphur Dioxide,2022-01-22,0.5,0.2,0.2,0,0.1,0.3,0.4,0.4,0.3,0.3,0.5,0.5,0.5,0.4,0.6,0.3,0.1,0,0,0,0.1,0.2,0.2,0.2
29000,Sulphur Dioxide,2022-01-23,0.1,0.2,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.3
29000,Sulphur Dioxide,2022-01-24,0.2,0,0,9999,0.1,0.5,0.4,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0
29000,Sulphur Dioxide,2022-01-25,0,0,0,0,0,0.7,1.4,1,0.9,1.3,1.4,0.6,1.8,0.9,0.8,1.8,2.4,0.1,0,0.4,0.2,0.1,0,0.1
29000,Sulphur Dioxide,2022-01-26,0.1,0.2,0,0.1,0,0.3,2.6,0.7,0.4,0.5,2.2,23.2,16.6,6.5,2.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1
