Date,Time,AQHI,Category
2022-05-11,12:00 am EDT,4,,Moderate Risk
2022-05-11,1:00 am EDT,4,,Moderate Risk
2022-05-11,2:00 am EDT,4,,Moderate Risk
2022-05-11,3:00 am EDT,4,,Moderate Risk
2022-05-11,4:00 am EDT,4,,Moderate Risk
2022-05-11,5:00 am EDT,4,,Moderate Risk
2022-05-11,6:00 am EDT,4,,Moderate Risk
2022-05-11,7:00 am EDT,4,,Moderate Risk
2022-05-11,8:00 am EDT,4,,Moderate Risk
2022-05-11,9:00 am EDT,5,,Moderate Risk
2022-05-11,10:00 am EDT,5,,Moderate Risk
2022-05-11,11:00 am EDT,5,,Moderate Risk
2022-05-11,12:00 pm EDT,5,,Moderate Risk
2022-05-11,1:00 pm EDT,5,,Moderate Risk
2022-05-11,2:00 pm EDT,6,,Moderate Risk
2022-05-11,3:00 pm EDT,6,,Moderate Risk
2022-05-11,4:00 pm EDT,5,,Moderate Risk
2022-05-11,5:00 pm EDT,5,,Moderate Risk
2022-05-11,6:00 pm EDT,5,,Moderate Risk
2022-05-11,7:00 pm EDT,6,,Moderate Risk
2022-05-11,8:00 pm EDT,6,,Moderate Risk
2022-05-11,9:00 pm EDT,6,,Moderate Risk
2022-05-11,10:00 pm EDT,5,,Moderate Risk
2022-05-11,11:00 pm EDT,5,,Moderate Risk
