City,Date ,SO2-H01,SO2-H02,SO2-H03,SO2-H04,SO2-H05,SO2-H06,SO2-H07,SO2-H08,SO2-H09,SO2-H10,SO2-H11,SO2-H12,SO2-H13,SO2-H14,SO2-H15,SO2-H16,SO2-H17,SO2-H18,SO2-H19,SO2-H20,SO2-H21,SO2-H22,SO2-H23,SO2-H24,CO-H01,CO-H02,CO-H03,CO-H04,CO-H05,CO-H06,CO-H07,CO-H08,CO-H09,CO-H10,CO-H11,CO-H12,CO-H13,CO-H14,CO-H15,CO-H16,CO-H17,CO-H18,CO-H19,CO-H20,CO-H21,CO-H22,CO-H23,CO-H24,NO-H01,NO-H02,NO-H03,NO-H04,NO-H05,NO-H06,NO-H07,NO-H08,NO-H09,NO-H10,NO-H11,NO-H12,NO-H13,NO-H14,NO-H15,NO-H16,NO-H17,NO-H18,NO-H19,NO-H20,NO-H21,NO-H22,NO-H23,NO-H24,NO2-H01,NO2-H02,NO2-H03,NO2-H04,NO2-H05,NO2-H06,NO2-H07,NO2-H08,NO2-H09,NO2-H10,NO2-H11,NO2-H12,NO2-H13,NO2-H14,NO2-H15,NO2-H16,NO2-H17,NO2-H18,NO2-H19,NO2-H20,NO2-H21,NO2-H22,NO2-H23,NO2-H24,O3-H01,O3-H02,O3-H03,O3-H04,O3-H05,O3-H06,O3-H07,O3-H08,O3-H09,O3-H10,O3-H11,O3-H12,O3-H13,O3-H14,O3-H15,O3-H16,O3-H17,O3-H18,O3-H19,O3-H20,O3-H21,O3-H22,O3-H23,O3-H24,PM2.5-H01,PM2.5-H02,PM2.5-H03,PM2.5-H04,PM2.5-H05,PM2.5-H06,PM2.5-H07,PM2.5-H08,PM2.5-H09,PM2.5-H10,PM2.5-H11,PM2.5-H12,PM2.5-H13,PM2.5-H14,PM2.5-H15,PM2.5-H16,PM2.5-H17,PM2.5-H18,PM2.5-H19,PM2.5-H20,PM2.5-H21,PM2.5-H22,PM2.5-H23,PM2.5-H24,NOx-H01,NOx-H02,NOx-H03,NOx-H04,NOx-H05,NOx-H06,NOx-H07,NOx-H08,NOx-H09,NOx-H10,NOx-H11,NOx-H12,NOx-H13,NOx-H14,NOx-H15,NOx-H16,NOx-H17,NOx-H18,NOx-H19,NOx-H20,NOx-H21,NOx-H22,NOx-H23,NOx-H24
Ottawa Downtown,2022-01-01,0.6,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3, , , , , , , , , , , , , , , , , , , , , , , , ,1.2,1.4,1.4,1.5,1.7,1.6,1.9,1.9,2.9,4.1,3.4,3.4,2.7,2.3,1.8,2.1,1.1,1.4,1.7,1.7,1.1,0.8,1.2,0.7,11.4,1 .1,12.4,12.6,12.7,12.4,12.9,12.8,11.9,11.9,9.2,7.9,6.8,6.6,6.1,6.3,4.6,4.7,4.4,4.2,3.8,2.9,3.2,2.8,1,11,8,7,7,7,6,6,7,7,9,9,11,12,13,13,2,23,26,28,3,32,32,3,34,32,32,32,33,33,34,33,39,4,3,25,2,14,13,11,6,5,5,5,4,4,4,4,12.6,11.6,13.8,14.1,14.3,14,14.8,14.7,14.8,16,12.6,11.3,9.5,9,7.9,8.4,5.7,6.2,6,5.9,4.9,3.7,4.4,3.5
Ottawa Downtown,2022-01-02,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3, , , , , , , , , , , , , , , , , , , , , , , , ,0.7,0.7,0.8,0.7,0.7,0.8,0.9,1.1,0.9,0.9,1,1,1.1,1,1,1,1,0.9,0.7,0.8,0.7,0.9,0.9,0.7,2.8,3,3.2,2.4,2.7,3,3,3.6,3,2.7,2.7,2.4,2.3,2.5,2.5,3,3,2.9,2.8,2.8,2.4,2.9,2.9,2.5,28,28,28,3,29,29,29,29,29,3,3,32,32,33,33,33,33,34,33,32,32,31,31,31,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,6,6,6,6,5,5,5,3.5,3.7,4,3.1,3.4,3.8,3.9,4.8,3.9,3.6,3.7,3.3,3.3,3.4,3.5,4,4,3.8,3.6,3.6,3.1,3.8,3.8,3.2
Ottawa Downtown,2022-01-03,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.6,1.4,0.6,0.6,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.6,0.5,0.4, , , , , , , , , , , , , , , , , , , , , , , , ,0.8,0.8,0.8,0.9,0.9,1,0.9,1.2,1.6,2,2.2,3.9,2.5,4,2.7,1.2,0.8,0.7,1.2,1.1,14.9,31.6,3,2.5,2.9,3.4,3.4,4.1,4.8,4.3,4.3,6.8,6.6,4.7,4,6.1,4.5,8.3,6.9,6.1,1,12.6,16.6,2,35.7,4 .3,27.1,22.3,3,28,28,27,26,27,27,24,24,26,28,27,32,31,32,31,27,26,21,18,5,4,12,16,5,5,5,5,5,5,5,5,4,4,3,3,3,4,4,4,6,7,8,9,12,13,1,9,3.7,4.2,4.2,5.1,5.7,5.3,5.3,8,8.2,6.7,6.2,1 .1,7,12.4,9.6,7.3,1 .8,13.3,17.9,21.1,5 .5,71.9,3 .1,24.8
Ottawa Downtown,2022-01-04,0.4,0.5,0.4,0.4,0.4,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5, , , , , , , , , , , , , , , , , , , , , , , , ,1.5,1.2,1.3,1.2,0.9,1.1,1.2,3.9,4.5,6.3,7.7,3.1,3.1,3.4,2.3,2.9,6.1,7.4,11.7,4.8,2.1,1.6,2.4,4.9,16.1,14.8,12,1 .8,11.2,12.9,14.7,25.3,24.2,2 .2,18.6,13.2,14.1,17.4,13.6,18.3,25.4,27.7,31.6,26.9,19.4,18.5,21.8,22.3,2,21,23,24,25,23,21,11,9,12,17,24,23,21,24,19,1,7,3,7,12,13,1,1,1,9,9,8,7,7,7,7,6,7,7,7,8,9,1,11,11,11,13,13,13,13,13,13,17.6,16,13.3,12,12.1,14,15.9,29.3,28.7,26.5,26.3,16.3,17.2,2 .9,15.9,21.2,31.5,35.1,43.3,31.7,21.4,2 .2,24.2,27.2
Ottawa Downtown,2022-01-05,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.6,0.8,0.6,0.6,0.6,0.7,0.7,0.9,0.8,0.6,0.4,0.4,0.4,0.4,0.4, , , , , , , , , , , , , , , , , , , , , , , , ,1.7,1.6,1.1,0.9,1.1,1.3,1.4,1.8,3,3.9,3.8,3.1,4.7,4,4.2,2.4,2.2,3.3,7.1,1.3,1.2,1.3,0.9,1,15.3,16.6,13.6,12.7,14,17.4,17.1,17.3,16.9,13.2,11.3,11.7,14.8,14.5,14.6,16,19.4,24.5,24.8,1 .6,11.1,11.1,7.5,8.1,16,14,17,17,16,12,13,13,13,17,2,2,18,21,21,19,16,11,12,26,24,24,25,19,12,12,12,12,13,14,14,14,16,17,16,16,17,14,14,16,2,22,17,11,12,11,12,13,17,18.2,14.8,13.6,15.1,18.8,18.4,19.1,19.9,17.1,15.1,14.7,19.5,18.5,18.8,18.5,21.6,27.8,31.9,12,12.3,12.4,8.4,9.1
Ottawa Downtown,2022-01-06,0.4,0.4,0.4,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3, , , , , , , , , , , , , , , , , , , , , , , , ,1,0.7,0.7,0.9,0.8,0.8,0.7,1,1.1,1.2,1.2,1.3,1.2,1.3,1.1,1.1,1.1,1.3,1,0.8,0.9,0.6,0.7,0.6,8.4,6.3,6.2,7.3,7.1,6.8,6.3,7.4,7.3,5,5.1,4.3,4,3.5,3,3.8,5.2,5.5,5.2,4.7,5.3,5.1,5.4,5,18,18,2,19,19,2,21,21,21,21,23,27,28,29,3,29,28,28,28,28,27,27,26,26,13,9,12,1,11,1,9,9,9,7,6,5,5,4,4,4,4,4,4,4,4,4,4,4,9.4,7.1,6.9,8.2,8,7.6,7,8.3,8.4,6.2,6.2,5.6,5.3,4.8,4.1,4.9,6.3,6.8,6.1,5.5,6.2,5.7,6.1,5.6
Ottawa Downtown,2022-01-07,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.3, , , , , , , , , , , , , , , , , , , , , , , , ,0.6,0.7,0.8,0.7,1,0.8,1.3,1.4,1.3,2.3,1.7,1.9,1.6,1.5,1.3,1.2,0.9,0.9,1,0.9,0.9,0.8,0.8,0.8,3.8,4.5,4.8,4.6,4.6,4.5,5.1,4.6,4.3,5,3.6,3.2,2.7,2.4,2.6,3.7,4,4.7,4.1,2.8,2.9,2.8,2.9,3.3,27,26,25,25,24,24,24,25,25,25,27,28,3,3,3,28,29,28,29,31,32,33,33,33,5,5,5,5,4,4,4,4,4,4,4,3,2,2,2,3,5,6,5,4,4,4,4,3,4.4,5.2,5.6,5.3,5.6,5.3,6.4,6,5.6,7.3,5.3,5.1,4.3,4,3.9,4.9,4.9,5.7,5.1,3.7,3.8,3.6,3.7,4.1
Ottawa Downtown,2022-01-08,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.6,0.5,0.7,1,0.7, , , , , , , , , , , , , , , , , , , , , , , , ,0.9,0.8,0.9,1,0.8,0.9,1,0.9,1.6,2.9,3.1,6,6.2,5.2,2.7,1.7,1.3,1.1,1,0.9,1,1,0.9,0.8,3.6,3.5,4.1,4.4,4.2,6.4,6.6,9.7,6.4,6.1,5.4,8.9,9.2,9.8,7.4,7.6,8,7.4,6.7,6.7,8.2,7,7,8.8,32,31,3,3,29,26,27,24,25,26,28,26,27,27,3,28,27,27,28,28,27,28,28,26,3,3,3,3,3,3,3,3,3,3,2,2,3,4,4,5,9,11,1,1,1,9,9,9,4.6,4.3,5,5.3,5.1,7.3,7.6,1 .6,8,9,8.4,14.9,15.4,15,1 .1,9.3,9.2,8.6,7.8,7.6,9.2,8,7.9,9.6
Ottawa Downtown,2022-01-09,0.6,0.6,0.6,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4, , , , , , , , , , , , , , , , , , , , , , , , ,1.2,0.8,0.9,0.8,1,1.1,1.1,1.1,1.5,2,2.3,3,3.9,7.3,2.4,1.1,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,1 .1,1 .4,1 .2,11.2,11.1,14.1,15,15.6,15.2,15.1,12.9,12.9,16,18.2,11.4,5.4,4.5,4.1,3.4,2.9,2.1,2.2,2.2,2.6,24,24,24,22,22,2,19,18,18,18,2,2,17,17,21,23,27,29,31,34,37,37,37,36,9,9,9,9,1,9,9,9,1,11,12,12,13,1,8,7,7,7,6,6,5,5,5,4,11.3,11.2,11.1,12,12.1,15.2,16.1,16.7,16.8,17.1,15.2,15.9,19.9,25.5,13.8,6.5,5.4,4.9,4,3.4,2.8,2.8,2.7,3.2
Ottawa Downtown,2022-01-10,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4, , , , , , , , , , , , , , , , , , , , , , , , ,0.6,0.7,0.6,0.6,0.6,0.7,0.7,1,1.6,1.4,1.3,1.3,1.3,1.2,1.1,1.2,0.9,0.9,1.3,0.9,1,1.7,1.5,1.3,2.2,3.2,3.9,6.2,6.2,7.7,9.7,14.3,9.8,3.5,2.4,2.5,2.5,2.3,2.4,3.5,3.8,4,3.8,3.3,2.7,3.5,2.6,2.4,36,35,34,31,31,29,26,22,27,34,35,35,34,34,34,34,33,34,34,33,32,3,3,29,5,5,5,5,4,5,4,5,5,5,4,4,5,4,4,6,6,5,5,5,6,6,5,6,2.8,3.9,4.5,6.8,6.8,8.3,1 .4,15.2,11.3,4.9,3.7,3.8,3.8,3.5,3.5,4.7,4.7,4.9,5,4.2,3.7,5.2,4.1,3.7
