Burlington, (44008) Hourly, Nitrogen Dioxide (NO2) Concentrations
Station,Burlington (44008)
Address,North Shore Blvd. E./lakeshore Rd.
Latitude,43.314603
Longitude,-79.80277
Elevation, 78 metres
Air Intake Height,5 metres
Pollutant,Nitrogen Dioxide (Nitrogen Dioxide  NO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44008,Nitrogen Dioxide,2022-01-01,15.9,11.6,6,3.7,5.5,13.5,12.5,16.5,12,8.9,8.1,6.5,5.1,5.1,7.3,5.6,6,6.3,6.9,6.8,6.5,5.6,4.8,5.5,
44008,Nitrogen Dioxide,2022-01-02,6.2,6.9,6.5,7.3,5.8,4.7,5.4,5.3,6,5.8,4.2,4.5,4.4,2.5,2.9,3.5,4.8,2.8,2.5,3.1,4.2,3.7,8.3,8.4,
44008,Nitrogen Dioxide,2022-01-03,9.4,12.5,12.2,9999,7.6,9.4,10.3,15.7,19.1,19,15.7,14.8,13.3,7.5,6.4,8.1,19.7,15.7,11.8,21.8,24.5,29.9,25,15.9,
44008,Nitrogen Dioxide,2022-01-04,5.7,5.1,4.9,5.2,5.4,6.7,9.4,10.3,11.1,9.7,8.8,7.1,5.9,6.2,7.3,18.2,12.1,10.5,15.9,23.8,26.7,26.7,33.6,36.4,
44008,Nitrogen Dioxide,2022-01-05,37.8,36.2,35.6,20.7,17,19.7,10.9,11.7,12.1,14,8.4,8.1,6.9,5.6,8.4,5.1,4.2,4.7,4.6,4.3,4,3.5,5,6.5,
44008,Nitrogen Dioxide,2022-01-06,4.9,4.4,4,4.4,4.5,5.2,6.2,6.7,7.2,7.5,6.6,6.7,8.2,11.3,12.8,9.7,12.7,15.1,10.4,10.4,9.6,9.9,12.7,12.2,
44008,Nitrogen Dioxide,2022-01-07,14,8.7,8.7,9.2,11.8,11.6,11.5,9.5,10.1,8.1,7.5,4.5,4.7,4.2,4.4,5.2,4.9,6.4,10.7,11.9,12.5,17,9.4,8.6,
44008,Nitrogen Dioxide,2022-01-08,11.2,14.1,19.5,12.6,16.6,26.1,34.6,35,31,21.3,17,6.6,4.6,7.5,5.4,5.5,4.7,4.9,3.3,4,9.2,20.1,12.4,4.4,
44008,Nitrogen Dioxide,2022-01-09,4.2,3.8,3.5,3.4,3.3,3.2,3,3.3,2.8,2.9,3.2,3.5,4.9,2.8,2.5,3.4,3.1,3,2.6,2.8,3,2.5,1.4,0.9,
44008,Nitrogen Dioxide,2022-01-10,0.8,3,3.2,9999,4.8,3.6,6.8,6.6,5.8,7.2,5.4,5.6,5.3,4.3,4.4,5.4,5.3,5.5,5,3.7,2.6,1.4,2.2,3.1,
44008,Nitrogen Dioxide,2022-01-11,1.7,9.8,13.2,12.3,11.7,11,15.5,20,21.7,21.1,20.1,16.4,8.8,9.8,10.4,10.7,12.7,10.5,16.4,12.6,15.6,14.3,4.1,3.1,
44008,Nitrogen Dioxide,2022-01-12,3.2,4.7,4.6,3.5,4.1,4.9,6.2,7.6,8.5,9.5,9.7,11.1,10.1,9.8,11.5,13.3,14,12.1,14,12.5,12.6,12.8,11.5,7.8,
44008,Nitrogen Dioxide,2022-01-13,9.2,16.2,16.7,22.1,20,25,19.7,25.9,15.2,25.6,31.6,30.1,24.7,14.9,9.7,21.3,28.6,31.9,36.7,38.4,32.9,14.6,7.4,6.2,
44008,Nitrogen Dioxide,2022-01-14,6.2,7.1,10.5,6.7,7.8,8.3,9.8,9.8,9.5,8.6,7.4,6.1,5.9,6,6.9,8.2,10.9,11.9,12,12.1,11.5,12.1,13.5,13.2,
44008,Nitrogen Dioxide,2022-01-15,9.9,8.1,8.3,8.4,10.6,10.9,12.2,13.4,13.4,11.2,10.2,9.8,8.9,8.1,8.4,9.3,13.6,19.8,24.5,26.5,25.3,21.9,24,25.1,
44008,Nitrogen Dioxide,2022-01-16,26.1,27,26.1,28.4,30.6,32.3,34.8,34,29.4,27.5,16.7,7.3,2.7,1.6,1.9,2.4,2,1.7,2.2,20.9,18.8,13,5.5,3.1,
44008,Nitrogen Dioxide,2022-01-17,9.9,5.8,4.4,9999,13.9,14.4,11.2,8.8,7.7,5.5,6.1,5.7,4.5,2.5,3.2,2.3,2.3,3.1,2.8,2.1,6.7,6.6,5.8,5.3,
44008,Nitrogen Dioxide,2022-01-18,5.6,14.5,2.8,2.4,3,4.3,9.4,14.1,13.6,9.3,7.1,5.8,5.4,6.2,5.5,7,14.1,12,10.5,9.3,7.6,5.5,13.4,6.3,
