Burlington, (44008) Hourly, Ground-level Ozone (O3) Concentrations
Station,Burlington (44008)
Address,North Shore Blvd. E./lakeshore Rd.
Latitude,43.314603
Longitude,-79.80277
Elevation, 78 metres
Air Intake Height,5 metres
Pollutant,Ozone (Ozone O3)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44008,Ozone,2022-01-01,9,9,12,15,15,8,8,4,4,6,9,13,17,22,23,25,26,26,24,23,23,22,23,22,
44008,Ozone,2022-01-02,21,21,22,24,23,24,24,25,27,28,29,30,30,33,33,33,31,32,32,31,30,31,28,27,
44008,Ozone,2022-01-03,25,22,23,9999,27,25,26,20,18,19,23,24,26,32,33,32,22,25,27,17,14,9,13,20,
44008,Ozone,2022-01-04,30,30,30,28,28,27,24,22,22,24,27,28,29,30,30,19,25,26,21,13,10,10,4,2,
44008,Ozone,2022-01-05,0,0,0,14,18,17,24,23,22,20,24,24,25,25,22,24,25,24,22,22,23,25,21,19,
44008,Ozone,2022-01-06,22,24,24,24,23,22,21,21,21,21,22,23,22,19,18,22,20,17,22,21,20,17,15,15,
44008,Ozone,2022-01-07,14,18,18,18,16,17,20,22,23,26,27,30,30,30,30,30,30,28,24,22,21,16,23,25,
44008,Ozone,2022-01-08,23,21,15,21,17,9,2,2,6,14,19,30,31,30,31,32,33,33,34,34,28,16,23,31,
44008,Ozone,2022-01-09,31,31,31,31,30,28,29,29,28,26,24,22,19,23,28,28,30,32,31,31,32,35,36,36,
44008,Ozone,2022-01-10,37,35,35,9999,32,33,31,31,32,30,31,31,31,33,33,32,32,31,31,32,31,32,31,31,
44008,Ozone,2022-01-11,33,24,20,20,20,20,16,12,10,11,12,16,23,23,23,23,22,22,17,24,21,22,31,31,
44008,Ozone,2022-01-12,31,29,28,28,26,24,22,20,19,17,17,16,17,17,19,20,20,22,20,21,19,18,18,22,
44008,Ozone,2022-01-13,21,13,12,9,10,6,10,5,13,7,4,7,13,21,26,15,9,5,1,0,2,18,29,31,
44008,Ozone,2022-01-14,30,28,23,27,27,27,25,25,25,25,24,24,25,26,26,25,25,23,23,24,24,23,21,22,
44008,Ozone,2022-01-15,24,25,24,23,19,18,17,16,17,20,21,22,23,24,25,25,22,18,14,10,9,10,8,7,
44008,Ozone,2022-01-16,5,4,3,3,2,1,0,1,4,6,15,25,33,36,38,38,39,40,38,21,20,27,33,35,
44008,Ozone,2022-01-17,29,34,34,9999,23,21,24,27,27,31,33,33,35,36,36,39,38,38,38,38,33,32,33,33,
44008,Ozone,2022-01-18,32,24,33,34,34,33,29,25,26,29,31,32,33,33,33,32,27,27,28,30,31,32,25,30,
44008,Ozone,2022-01-19,30,30,30,31,31,31,30,28,27,26,25,25,26,30,33,31,30,29,28,30,30,32,34,34,
44008,Ozone,2022-01-20,30,34,34,32,30,24,13,16,18,20,23,24,25,27,28,33,32,29,31,26,29,31,24,18,
44008,Ozone,2022-01-21,20,28,27,25,18,11,9,4,8,13,13,22,23,30,22,13,15,13,6,9,6,6,3,4,
44008,Ozone,2022-01-22,4,3,1,0,1,0,0,1,2,15,31,32,33,32,35,35,33,31,30,28,25,24,25,26,
44008,Ozone,2022-01-23,26,24,25,27,31,31,31,32,29,35,35,34,33,33,33,33,32,29,27,28,24,27,31,27,
44008,Ozone,2022-01-24,21,4,9,9999,23,17,10,2,12,32,32,29,24,27,27,26,25,22,15,16,10,1,6,24,
44008,Ozone,2022-01-25,26,25,25,28,29,30,28,25,26,29,33,33,34,34,34,33,32,28,22,15,13,28,28,24,
44008,Ozone,2022-01-26,21,8,2,12,8,4,5,7,12,18,20,20,19,24,27,32,32,28,22,18,19,18,14,26,
44008,Ozone,2022-01-27,25,31,34,34,29,29,24,19,25,24,29,28,30,29,29,30,31,29,28,27,26,25,24,20,
44008,Ozone,2022-01-28,19,33,33,33,32,31,30,28,27,28,28,28,29,31,31,30,28,27,25,22,18,23,24,25,
44008,Ozone,2022-01-29,27,27,25,24,24,24,23,23,25,28,33,33,34,35,35,35,34,26,18,19,22,29,29,32,
44008,Ozone,2022-01-30,32,33,33,27,25,22,17,24,30,31,32,36,37,40,41,41,40,31,27,27,31,31,33,28,
44008,Ozone,2022-01-31,29,33,28,9999,25,26,24,18,19,24,27,32,35,39,40,40,42,44,45,43,37,38,37,35,
44008,Ozone,2022-02-01,32,4,2,3,1,1,1,7,9,15,22,28,26,29,34,37,38,39,35,14,33,39,40,40,
44008,Ozone,2022-02-02,39,39,38,35,35,32,26,27,25,21,19,24,26,25,18,17,17,11,24,24,26,27,30,31,
44008,Ozone,2022-02-03,31,28,29,29,25,25,25,21,22,23,23,24,25,28,26,27,27,24,22,21,22,23,22,19,
44008,Ozone,2022-02-04,20,22,23,22,23,23,22,18,18,23,25,26,25,26,28,28,26,23,14,10,16,15,21,26,
44008,Ozone,2022-02-05,24,21,25,25,27,25,17,16,23,27,29,29,30,29,31,33,34,31,30,21,13,17,5,18,
44008,Ozone,2022-02-06,33,21,14,28,29,29,27,23,30,33,35,37,39,41,42,43,42,41,38,36,33,34,34,37,
44008,Ozone,2022-02-07,38,37,35,9999,29,24,21,19,23,26,31,34,37,39,38,31,38,36,33,30,28,26,28,25,
44008,Ozone,2022-02-08,26,23,25,28,26,24,21,19,18,20,26,26,29,29,31,33,34,34,32,30,18,20,19,21,
