Date,City,PM25,O3,NO2,SO2,CO
2023-10-02,Toronto-North,36.00,40.00,11.00,1.00,3.00
2023-10-03,Toronto-North,38.00,49.00,19.00,1.00,1.00
2023-10-04,Toronto-North,54.00,39.00,13.00,1.00,1.00
2023-10-05,Toronto-North,57.00,35.00,8.00,1.00,1.00
2023-10-06,Toronto-North,46.00,30.00,7.00,1.00,1.00
2023-10-07,Toronto-North,31.00,19.00,3.00,1.00,1.00
2023-10-08,Toronto-North,19.00,22.00,1.00,1.00,5.00
2023-10-09,Toronto-North,6.00,21.00,2.00,1.00,1.00
2023-10-10,Toronto-North,11.00, , ,2.00,
2023-07-02,Toronto-North,96.00,34.00,5.00,1.00,1.00
2023-07-03,Toronto-North,74.00,38.00,3.00,1.00,
2023-07-04,Toronto-North,48.00,34.00,12.00,1.00,1.00
2023-07-05,Toronto-North,52.00,47.00,8.00,1.00,1.00
2023-07-06,Toronto-North,52.00,37.00,9.00,,4.00
2023-07-07,Toronto-North,45.00,31.00,3.00,,1.00
2023-07-08,Toronto-North,30.00,32.00,5.00,,
2023-07-09,Toronto-North,40.00,33.00,1.00,,1.00
2023-07-10,Toronto-North,28.00,40.00,6.00,,1.00
2023-07-11,Toronto-North,37.00,45.00,9.00,,
2023-07-12,Toronto-North,44.00,42.00,4.00,1.00,1.00
2023-07-13,Toronto-North,25.00,28.00,3.00,1.00,5.00
2023-07-14,Toronto-North,20.00,39.00,6.00,1.00,1.00
2023-07-15,Toronto-North,33.00,33.00,4.00,2.00,
2023-07-16,Toronto-North,35.00,37.00,3.00,1.00,1.00
2023-07-17,Toronto-North,51.00,41.00,5.00,1.00,1.00
2023-07-18,Toronto-North,84.00,25.00,5.00,1.00,5.00
2023-07-19,Toronto-North,34.00,30.00,5.00,1.00,1.00
2023-07-20,Toronto-North,26.00,39.00,8.00,1.00,1.00
2023-07-21,Toronto-North,34.00,26.00,3.00,2.00,2.00
2023-07-22,Toronto-North,30.00,28.00,3.00,2.00,2.00
2023-07-23,Toronto-North,47.00,34.00,4.00,2.00,
2023-07-25,Toronto-North,33.00,51.00,8.00,1.00,1.00
2023-07-26,Toronto-North,57.00,53.00,8.00,,2.00
2023-07-27,Toronto-North,85.00,35.00,4.00,2.00,1.00
2023-07-28,Toronto-North,35.00,46.00,8.00,1.00,1.00
2023-07-29,Toronto-North,73.00,28.00,1.00,1.00,2.00
2023-07-30,Toronto-North,33.00,25.00,3.00,,1.00
2023-07-31,Toronto-North,24.00,24.00,3.00,,
2023-08-01,Toronto-North,23.00,31.00,5.00,,1.00
2023-08-02,Toronto-North,25.00,30.00,9.00,,1.00
2023-08-03,Toronto-North,37.00,49.00,5.00,1.00,2.00
2023-08-04,Toronto-North,57.00,30.00,4.00,1.00,1.00
2023-08-05,Toronto-North,56.00,19.00,1.00,1.00,1.00
2023-08-06,Toronto-North,91.00, , ,1.00,1.00
2023-08-09,Toronto-North,43.00,33.00,6.00,2.00,2.00
2023-08-10,Toronto-North,53.00,35.00,6.00,1.00,
2023-08-11,Toronto-North,56.00,26.00,3.00,1.00,1.00
2023-08-12,Toronto-North,21.00,36.00,2.00,1.00,1.00
2023-08-13,Toronto-North,23.00,18.00,1.00,,1.00
2023-08-14,Toronto-North,14.00,29.00,3.00,1.00, 
2023-08-15,Toronto-North,35.00,19.00,4.00,,4.00
2023-08-16,Toronto-North,48.00,40.00,4.00,2.00, 
2023-08-17,Toronto-North,90.00,36.00,5.00,1.00,2.00
2023-08-18,Toronto-North,67.00,20.00,3.00,1.00, 
2023-08-19,Toronto-North,21.00,28.00,2.00,,2.00
2023-08-20,Toronto-North,55.00,39.00,4.00,, 
2023-08-21,Toronto-North,62.00,24.00,2.00,,1.00
2023-08-22,Toronto-North,43.00,27.00,4.00,, 
2023-08-23,Toronto-North,34.00,23.00,10.00,, 
2023-08-24,Toronto-North,37.00,20.00,5.00,,2.00
2023-08-25,Toronto-North,38.00,23.00,3.00,,4.00
2023-08-26,Toronto-North,26.00,22.00,5.00,1.00, 
2023-08-27,Toronto-North,25.00,22.00,3.00,2.00, 
2023-08-28,Toronto-North,33.00,31.00,6.00,1.00, 
2023-08-29,Toronto-North,33.00,43.00,8.00,2.00,1.00
2023-08-30,Toronto-North,38.00,20.00,4.00,, 
2023-08-31,Toronto-North,19.00,27.00,6.00,2.00,2.00
2023-09-01,Toronto-North,19.00,33.00,10.00,1.00,2.00
2023-09-02,Toronto-North,30.00,31.00,7.00,, 
2023-09-03,Toronto-North,32.00,39.00,6.00,1.00, 
2023-09-04,Toronto-North,41.00,44.00,5.00,1.00, 
